,Antecedente,Consequente,Frequência da regra,Frequência do antecedente
0,"(('5948-1', '24.9958-1'),)","('5948-1', '29.0049-6')",7,7
1,"(('5948-1', '29.0049-6'),)","('5948-1', '24.9958-1')",7,7
2,"(('5948-1', '1409-0'),)","('5948-1', '29.0049-6')",7,7
3,"(('5948-1', '29.0049-6'),)","('5948-1', '1409-0')",7,7
4,"(('5948-1', '1409-0'), ('5948-1', '24.9958-1'))","('5948-1', '29.0049-6')",7,7
5,"(('5948-1', '1409-0'), ('5948-1', '29.0049-6'))","('5948-1', '24.9958-1')",7,7
6,"(('5948-1', '24.9958-1'), ('5948-1', '29.0049-6'))","('5948-1', '1409-0')",7,7
7,"(('5948-1', '1409-0'),)","('5948-1', '24.9958-1')",7,7
8,"(('5948-1', '24.9958-1'),)","('5948-1', '1409-0')",7,7
9,"(('29.3354-6', '5948-1'),)","('5948-1', '29.0049-6')",7,7
10,"(('5948-1', '29.0049-6'),)","('29.3354-6', '5948-1')",7,7
11,"(('29.3354-6', '5948-1'), ('5948-1', '24.9958-1'))","('5948-1', '29.0049-6')",7,7
12,"(('29.3354-6', '5948-1'), ('5948-1', '29.0049-6'))","('5948-1', '24.9958-1')",7,7
13,"(('5948-1', '24.9958-1'), ('5948-1', '29.0049-6'))","('29.3354-6', '5948-1')",7,7
14,"(('29.3354-6', '5948-1'),)","('5948-1', '24.9958-1')",7,7
15,"(('5948-1', '24.9958-1'),)","('29.3354-6', '5948-1')",7,7
16,"(('29.3354-6', '5948-1'), ('5948-1', '1409-0'))","('5948-1', '29.0049-6')",7,7
17,"(('29.3354-6', '5948-1'), ('5948-1', '29.0049-6'))","('5948-1', '1409-0')",7,7
18,"(('5948-1', '1409-0'), ('5948-1', '29.0049-6'))","('29.3354-6', '5948-1')",7,7
19,"(('29.3354-6', '5948-1'), ('5948-1', '1409-0'), ('5948-1', '24.9958-1'))","('5948-1', '29.0049-6')",7,7
20,"(('29.3354-6', '5948-1'), ('5948-1', '1409-0'), ('5948-1', '29.0049-6'))","('5948-1', '24.9958-1')",7,7
21,"(('29.3354-6', '5948-1'), ('5948-1', '24.9958-1'), ('5948-1', '29.0049-6'))","('5948-1', '1409-0')",7,7
22,"(('5948-1', '1409-0'), ('5948-1', '24.9958-1'), ('5948-1', '29.0049-6'))","('29.3354-6', '5948-1')",7,7
23,"(('29.3354-6', '5948-1'), ('5948-1', '1409-0'))","('5948-1', '24.9958-1')",7,7
