%Conta Origem	Conta Destino	Data Hora	Montante
A	B	3/5/2007 10:01	80000,00
B	C	3/5/2007 12:25	10000,00
B	D	3/5/2007 12:30	32500,00
B	E	3/5/2007 14:05	25400,00
B	F	3/5/2007 15:50	10200,00
A	B	8/5/2007 12:23	35000,00
B	C	8/5/2007 14:57	12300,00
B	D	8/5/2007 15:31	8900,00
B	E	8/5/2007 15:49	7400,00
B	F	8/5/2007 16:00	5200,00
A	B	15/5/2007 09:31	52000,00
B	C	15/5/2007 10:55	17600,00
B	D	15/5/2007 12:20	14200,00
B	E	15/5/2007 12:33	8300,00
A	B	20/5/2007 10:33	64700,00
B	C	20/5/2007 10:59	20400,00
B	D	20/5/2007 11:43	16600,00
B	E	20/5/2007 15:23	15550,00
B	F	20/5/2007 15:47	10200,00
A	B	21/5/2007 10:00	88200,00
B	C	21/5/2007 12:01	22400,00
B	D	21/5/2007 13:45	28500,00
B	E	21/5/2007 14:20	18000,00
B	F	21/5/2007 14:56	17400,00
A	B	25/5/2007 11:05	73000,00
B	C	25/5/2007 12:05	25700,00
B	D	25/5/2007 13:23	16700,00
B	E	25/5/2007 15:09	16000,00
A	B	29/5/2007 09:59	62800,00
B	C	29/5/2007 12:31	15400,00
B	D	29/5/2007 13:08	13200,00
B	E	29/5/2007 14:28	21900,00
B	F	29/5/2007 14:47	10400,00
